"","V1","V2","V3","V4","V5"
"Am.Nord",0.00253057854528853,0.13565186816671,0.12863359952644,0.452646771294362,0.000119529474210846
"Am.latine",4.92665797619098e-06,0.029215881153291,0.0202310246103886,0.239193290176883,0.00216071666611387
"Europe occidentale",0.0748619863839544,0.496322136484955,0.405226968533622,0.00538123630388265,0.0143507045205988
"Europe c./o.,Etats baltes,CEI",4.11808537367595e-05,0.017260727168069,0.000894518954929394,0.000114121819712553,0.966280352828321
"Afrique",5.1658920637016e-09,0.00705840609654313,1.62389548096078e-05,0.000148582630622048,1.29393280401068e-06
"Moyen Orient",8.32800512692798e-07,0.0129972203052602,0.00578255692094622,0.00755190012312617,0.0105324429421935
"Asie",0.00909548956657829,0.228624425483563,0.429631406462939,0.293481813709967,0.00527866535973151
"Monde",0.913465000026062,0.072869335141609,0.00958368603592975,0.00148228394142033,0.00127629427855465
