Nbre d'heures / semaine emploi principal	De 0 à moins de 30 heures	De 30 à moins de 35 heures	De 35 à moins de 37 heures	De 37 à moins de 40 heures	40 heures ou plus
Agriculture, sylviculture et pêche	57,5	26,2	115	42,2	368,3
Industrie	176,4	98,3	1214,8	731,7	1248,7
Tertiaire	3131,6	1262,4	6077,7	3277,3	6680,9
Commerce de gros et de détail, transports, hébergement et restauration	671,4	271,9	1961,3	871,6	1887,7
Information et communication	60,6	26,3	197,3	205,2	437,4
Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien	358,3	131,1	692,7	435,7	1054,1
Administration publique, enseignement, santé humaine et action sociale	1475,8	681,8	2597,1	1351,8	2369,8
Autres activités de services	479,7	104,2	345,1	123,6	359,8
